method,path,handler_line,engines_used,mutates,called_from,auth_in_handler,rbac_permission,status
GET,/api/health,server.ts:109,,,NONE,n,-,ORPHAN(no client caller)
POST,/api/checkout/calculate,server.ts:121,,,NONE,n,-,ORPHAN(no client caller)
POST,/api/orders/create,server.ts:147,serverDb fraudEngine marketingCommandCenter fulfillmentEngine promotionEngine queueService notificationService,adjustInventory updateProductStock recordCouponUsage getOrCreateLoyaltyWallet adjustLoyaltyPoints addOrder addAuditLog,src/components/admin/ManualOrderModal.tsx | src/pages/Checkout.tsx,n,-,WIRED
GET,/api/products,server.ts:381,serverDb,,src/context/AppContext.tsx,n,-,WIRED
POST,/api/products,server.ts:389,serverDb,addProduct,src/context/AppContext.tsx,n,-,WIRED
PUT,/api/products/:id,server.ts:403,serverDb,updateProduct,src/context/AppContext.tsx,n,-,WIRED
DELETE,/api/products/:id,server.ts:416,serverDb,deleteProduct,src/context/AppContext.tsx,n,-,WIRED
GET,/api/categories,server.ts:429,serverDb,,src/context/AppContext.tsx,n,-,WIRED
POST,/api/categories,server.ts:437,serverDb,addCategory,src/context/AppContext.tsx,n,-,WIRED
PUT,/api/categories/:id,server.ts:451,serverDb,updateCategory,src/context/AppContext.tsx,n,-,WIRED
DELETE,/api/categories/:id,server.ts:464,serverDb,deleteCategory,src/context/AppContext.tsx,n,-,WIRED
GET,/api/orders,server.ts:480,serverDb fraudEngine,orders customers,src/admin/FraudRiskDashboard.tsx | src/context/AppContext.tsx,y,-,WIRED
GET,/api/orders/track,server.ts:529,serverDb,orders,src/pages/TrackOrder.tsx,n,-,WIRED
POST,/api/orders/:id/status,server.ts:574,serverDb supplierEngine notificationService,updateOrderStatus adjustInventory,src/context/AppContext.tsx,n,-,WIRED
GET,/api/payments/transactions,server.ts:658,serverDb,getPaymentTransactions,src/admin/PaymentsAdmin.tsx,n,-,WIRED
POST,/api/payments/sslcommerz/init,server.ts:665,serverDb paymentService,getOrderById,NONE,n,-,ORPHAN(no client caller)
POST,/api/payments/sslcommerz/validate,server.ts:690,paymentService,,src/pages/Checkout.tsx,n,-,WIRED
POST,/api/payments/bkash/create,server.ts:706,paymentService,,NONE,n,-,ORPHAN(no client caller)
POST,/api/payments/bkash/execute,server.ts:716,paymentService,,src/pages/Checkout.tsx,n,-,WIRED
POST,/api/payments/refund,server.ts:727,paymentService,,src/admin/PaymentsAdmin.tsx,n,-,WIRED
POST,/api/orders/fraud-check,server.ts:738,fraudEngine,,src/admin/PaymentsAdmin.tsx,n,-,WIRED
POST,/api/payments/ipn,server.ts:754,paymentService serverDb,addAuditLog getOrderByNumber addPaymentTransaction,NONE,n,-,ORPHAN(no client caller)
POST,/api/payments/test-ipn,server.ts:800,serverDb,getOrderByNumber addPaymentTransaction addAuditLog,src/admin/PaymentsAdmin.tsx,n,-,WIRED
GET,/api/courier/config,server.ts:862,courierService,,src/components/admin/OrderCourierDispatchModal.tsx,n,-,WIRED
POST,/api/courier/book,server.ts:871,serverDb courierService,getOrderById,src/admin/ShipmentsAdmin.tsx | src/components/admin/OrderCourierDispatchModal.tsx,n,-,WIRED
GET,/api/courier/track/:id,server.ts:923,courierService,,src/components/admin/OrderLiveTrackingTimeline.tsx,n,-,WIRED
POST,/api/courier/webhook,server.ts:935,courierService,,src/admin/ShipmentsAdmin.tsx,n,-,WIRED
GET,/api/operations/jobs,server.ts:945,queueService,,src/admin/OperationsAdmin.tsx,n,-,WIRED
GET,/api/operations/stats,server.ts:949,queueService,,src/admin/OperationsAdmin.tsx,n,-,WIRED
POST,/api/operations/jobs/enqueue,server.ts:953,queueService,,NONE,n,-,ORPHAN(no client caller)
POST,/api/operations/jobs/retry,server.ts:962,queueService,,NONE,n,-,ORPHAN(no client caller)
POST,/api/operations/worker/tick,server.ts:971,queueService,,NONE,n,-,ORPHAN(no client caller)
POST,/api/operations/worker/toggle,server.ts:981,queueService serverDb,gatewayConfig,NONE,n,-,ORPHAN(no client caller)
POST,/api/operations/dlq/replay-all,server.ts:989,queueService,,NONE,n,-,ORPHAN(no client caller)
POST,/api/operations/dlq/purge,server.ts:998,queueService,,NONE,n,-,ORPHAN(no client caller)
GET,/api/webhooks/endpoints,server.ts:1008,serverDb,webhookEndpoints,src/admin/OperationsAdmin.tsx,n,-,WIRED
POST,/api/webhooks/endpoints,server.ts:1012,serverDb,addWebhookEndpoint,src/admin/OperationsAdmin.tsx,n,-,WIRED
PUT,/api/webhooks/endpoints/:id,server.ts:1027,serverDb,updateWebhookEndpoint,src/admin/OperationsAdmin.tsx,n,-,WIRED
DELETE,/api/webhooks/endpoints/:id,server.ts:1036,serverDb,deleteWebhookEndpoint,src/admin/OperationsAdmin.tsx,n,-,WIRED
GET,/api/webhooks/logs,server.ts:1045,serverDb,webhookLogs,src/admin/OperationsAdmin.tsx,n,-,WIRED
POST,/api/webhooks/test-ping,server.ts:1049,webhookService,,NONE,n,-,ORPHAN(no client caller)
GET,/api/notifications/templates,server.ts:1063,serverDb,notificationTemplates,src/admin/OperationsAdmin.tsx,n,-,WIRED
PUT,/api/notifications/templates/:id,server.ts:1067,serverDb,updateNotificationTemplate,src/admin/OperationsAdmin.tsx,n,-,WIRED
GET,/api/notifications/logs,server.ts:1076,serverDb,notificationLogs,src/admin/OperationsAdmin.tsx,n,-,WIRED
GET,/api/notifications/config,server.ts:1080,serverDb,gatewayConfig,src/admin/OperationsAdmin.tsx,n,-,WIRED
PUT,/api/notifications/config,server.ts:1084,serverDb,gatewayConfig addAuditLog,src/admin/OperationsAdmin.tsx,n,-,WIRED
POST,/api/notifications/calculate-sms,server.ts:1090,notificationService,,src/admin/OperationsAdmin.tsx,n,-,WIRED
POST,/api/notifications/dispatch,server.ts:1096,notificationService queueService serverDb,gatewayConfig,src/admin/OperationsAdmin.tsx,n,-,WIRED
POST,/api/notifications/dispatch-event,server.ts:1126,notificationService,,src/context/AppContext.tsx,n,-,WIRED
POST,/api/notifications/logs/:id/retry,server.ts:1140,serverDb,retryNotificationLog,src/admin/OperationsAdmin.tsx,n,-,WIRED
POST,/api/notifications/test-connection,server.ts:1150,notificationService,,src/admin/OperationsAdmin.tsx,n,-,WIRED
POST,/api/notifications/topup,server.ts:1161,serverDb,gatewayConfig addAuditLog,src/admin/OperationsAdmin.tsx,n,-,WIRED
POST,/api/notifications/whatsapp-link,server.ts:1170,notificationService,,NONE,n,-,ORPHAN(no client caller)
GET,/api/customer/notifications/:customerId,server.ts:1178,serverDb,getCustomerNotifications,src/context/AppContext.tsx,n,-,WIRED
POST,/api/customer/notifications/:id/read,server.ts:1184,serverDb,markNotificationAsRead,src/context/AppContext.tsx,n,-,WIRED
POST,/api/customer/notifications/read-all,server.ts:1190,serverDb,markAllNotificationsAsRead,src/context/AppContext.tsx,n,-,WIRED
POST,/api/notifications/sms/send,server.ts:1197,smsService queueService,,NONE,n,-,ORPHAN(no client caller)
GET,/api/inventory/stats,server.ts:1211,serverDb,getInventoryStats,NONE,n,-,ORPHAN(no client caller)
GET,/api/inventory/transactions,server.ts:1220,serverDb,getInventoryTransactions,NONE,n,-,ORPHAN(no client caller)
POST,/api/inventory/adjust,server.ts:1230,serverDb,adjustInventory getInventoryStats,src/context/AppContext.tsx,n,-,WIRED
POST,/api/inventory/batch-restock,server.ts:1270,serverDb,batchRestock getInventoryStats,src/context/AppContext.tsx,n,-,WIRED
GET,/api/inventory/export,server.ts:1303,serverDb,getInventoryStats,NONE,n,-,ORPHAN(no client caller)
GET,/api/admin/returns,server.ts:1335,serverDb,,NONE,n,-,ORPHAN(no client caller)
