section,module,route,file,function_name,ui_trigger,purpose_1line,calls_api,reads_context,writes_context,writes_localStorage,emits_audit_log,emits_notification,guarded_by_permission
sales-operations,AdminLayout,/admin,src/admin/AdminLayout.tsx:63,useEffect@63,effect(mount/dep),data load / sync on mount or dependency change,NONE,-,-,-,n,n,none
sales-operations,AdminLayout,/admin,src/admin/AdminLayout.tsx:77,useEffect@77,effect(mount/dep),data load / sync on mount or dependency change,NONE,showToast,setCurrentRole,-,n,y,none
sales-operations,AdminLayout,/admin,src/admin/AdminLayout.tsx:78,onAuthExpired,UNWIRED?,onAuthExpired action,NONE,showToast,setCurrentRole,-,n,y,none
sales-operations,AdminLayout,/admin,src/admin/AdminLayout.tsx:90,toggleSection,button click,toggleSection action,NONE,-,-,-,n,n,none
sales-operations,AdminLayout,/admin,src/admin/AdminLayout.tsx:130,handleOpenGuide,button click,handleOpenGuide action,NONE,-,-,-,n,n,none
system-administration,AnalyticsAdmin,/admin/analytics,src/admin/AnalyticsAdmin.tsx:101,useEffect@101,effect(mount/dep),data load / sync on mount or dependency change,NONE,-,-,-,n,n,REPORT_VIEW
system-administration,AnalyticsAdmin,/admin/analytics,src/admin/AnalyticsAdmin.tsx:102,handleStorageChange,UNWIRED?,handleStorageChange action,NONE,-,-,-,n,n,REPORT_VIEW
system-administration,AnalyticsAdmin,/admin/analytics,src/admin/AnalyticsAdmin.tsx:117,useEffect@117,effect(mount/dep),data load / sync on mount or dependency change,NONE,products customers,-,-,n,n,REPORT_VIEW
system-administration,AnalyticsAdmin,/admin/analytics,src/admin/AnalyticsAdmin.tsx:326,handleExportCSV,button click,handleExportCSV action,NONE,orders,-,-,n,n,REPORT_VIEW
system-administration,AuditAdmin,/admin/audit,src/admin/AuditAdmin.tsx:67,fetchLedger,button click,fetchLedger action,GET /api/security/audit-chain/ledger,-,-,-,y,n,SECURITY_MANAGE
system-administration,AuditAdmin,/admin/audit,src/admin/AuditAdmin.tsx:86,useEffect@86,effect(mount/dep),data load / sync on mount or dependency change,NONE,-,-,-,n,n,SECURITY_MANAGE
system-administration,AuditAdmin,/admin/audit,src/admin/AuditAdmin.tsx:91,handleVerifyLedger,button click,handleVerifyLedger action,GET /api/security/audit-chain/verify,showToast,-,-,y,y,SECURITY_MANAGE
system-administration,AuditAdmin,/admin/audit,src/admin/AuditAdmin.tsx:116,handleRunDiagnostics,button click,handleRunDiagnostics action,GET /api/security/diagnostics,showToast,-,-,n,y,SECURITY_MANAGE
system-administration,AuditAdmin,/admin/audit,src/admin/AuditAdmin.tsx:135,handleExportJson,button click,handleExportJson action,NONE,showToast,-,-,y,y,SECURITY_MANAGE
system-administration,AuditAdmin,/admin/audit,src/admin/AuditAdmin.tsx:201,handleExportExcel,button click,handleExportExcel action,NONE,showToast,-,-,y,y,SECURITY_MANAGE
system-administration,AuditAdmin,/admin/audit,src/admin/AuditAdmin.tsx:218,handleExportCsv,prop:onExportCsv (child component),handleExportCsv action,NONE,showToast,-,-,y,y,SECURITY_MANAGE
system-administration,BackupAdmin,/admin/backup,src/admin/BackupAdmin.tsx:98,useEffect@98,effect(mount/dep),data load / sync on mount or dependency change,NONE,-,-,-,n,n,BACKUP_CREATE
system-administration,BackupAdmin,/admin/backup,src/admin/BackupAdmin.tsx:107,fetchDriveConfig,called internally,fetchDriveConfig action,GET /api/system/drive/config,-,-,-,n,n,BACKUP_CREATE
system-administration,BackupAdmin,/admin/backup,src/admin/BackupAdmin.tsx:126,fetchDriveFiles,button click,fetchDriveFiles action,GET /api/system/drive/files,-,-,-,n,n,BACKUP_CREATE
system-administration,BackupAdmin,/admin/backup,src/admin/BackupAdmin.tsx:143,handleConnectDrive,button click,handleConnectDrive action,POST /api/system/drive/connect,currentRole language showToast,-,-,n,y,BACKUP_CREATE
system-administration,BackupAdmin,/admin/backup,src/admin/BackupAdmin.tsx:170,handleDisconnectDrive,button click,handleDisconnectDrive action,POST /api/system/drive/disconnect,currentRole language showToast,-,-,n,y,BACKUP_CREATE
system-administration,BackupAdmin,/admin/backup,src/admin/BackupAdmin.tsx:187,handleSyncDriveNow,button click,handleSyncDriveNow action,POST /api/system/drive/sync-now,currentRole language showToast,-,-,y,y,BACKUP_CREATE
system-administration,BackupAdmin,/admin/backup,src/admin/BackupAdmin.tsx:212,handleRestoreFromDriveFile,button click,handleRestoreFromDriveFile action,POST /api/system/drive/restore,currentRole language showToast,-,-,n,y,BACKUP_CREATE
system-administration,BackupAdmin,/admin/backup,src/admin/BackupAdmin.tsx:242,fetchSnapshots,button click,fetchSnapshots action,GET /api/system/backups,-,-,-,n,n,BACKUP_CREATE
system-administration,BackupAdmin,/admin/backup,src/admin/BackupAdmin.tsx:259,fetchSchedule,called internally,fetchSchedule action,GET /api/system/backups/schedule,-,-,-,n,n,BACKUP_CREATE
