section,module,file,fn,trigger,api,wired,serverBacked,auth,refetch,errorUX,loading,i18n,responsive,a11y,tableScroll
sales-operations,AdminLayout,src/admin/AdminLayout.tsx:63,useEffect@63,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
sales-operations,AdminLayout,src/admin/AdminLayout.tsx:77,useEffect@77,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
sales-operations,AdminLayout,src/admin/AdminLayout.tsx:78,onAuthExpired,UNWIRED?,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
sales-operations,AdminLayout,src/admin/AdminLayout.tsx:90,toggleSection,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
sales-operations,AdminLayout,src/admin/AdminLayout.tsx:130,handleOpenGuide,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
system-administration,AnalyticsAdmin,src/admin/AnalyticsAdmin.tsx:101,useEffect@101,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
system-administration,AnalyticsAdmin,src/admin/AnalyticsAdmin.tsx:102,handleStorageChange,UNWIRED?,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
system-administration,AnalyticsAdmin,src/admin/AnalyticsAdmin.tsx:117,useEffect@117,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
system-administration,AnalyticsAdmin,src/admin/AnalyticsAdmin.tsx:326,handleExportCSV,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
system-administration,AuditAdmin,src/admin/AuditAdmin.tsx:67,fetchLedger,button click,GET /api/security/audit-chain/ledger,true,yes,STAFF,n/a,yes,yes,yes,yes,yes,yes
system-administration,AuditAdmin,src/admin/AuditAdmin.tsx:86,useEffect@86,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
system-administration,AuditAdmin,src/admin/AuditAdmin.tsx:91,handleVerifyLedger,button click,GET /api/security/audit-chain/verify,true,yes,STAFF,n/a,yes,yes,yes,yes,yes,yes
system-administration,AuditAdmin,src/admin/AuditAdmin.tsx:116,handleRunDiagnostics,button click,GET /api/security/diagnostics,true,yes,STAFF,n/a,yes,NO,yes,yes,yes,yes
system-administration,AuditAdmin,src/admin/AuditAdmin.tsx:135,handleExportJson,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
system-administration,AuditAdmin,src/admin/AuditAdmin.tsx:201,handleExportExcel,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
system-administration,AuditAdmin,src/admin/AuditAdmin.tsx:218,handleExportCsv,prop:onExportCsv (child component),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
system-administration,BackupAdmin,src/admin/BackupAdmin.tsx:98,useEffect@98,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
system-administration,BackupAdmin,src/admin/BackupAdmin.tsx:107,fetchDriveConfig,called internally,GET /api/system/drive/config,true,yes,STAFF,n/a,yes,yes,yes,yes,yes,yes
system-administration,BackupAdmin,src/admin/BackupAdmin.tsx:126,fetchDriveFiles,button click,GET /api/system/drive/files,true,yes,STAFF,n/a,yes,yes,yes,yes,yes,yes
system-administration,BackupAdmin,src/admin/BackupAdmin.tsx:143,handleConnectDrive,button click,POST /api/system/drive/connect,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
system-administration,BackupAdmin,src/admin/BackupAdmin.tsx:170,handleDisconnectDrive,button click,POST /api/system/drive/disconnect,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
